BCI-AV#,English,POS,Derivation - explanation,WinBliss
25132,"oppression,captivity,slavery",YELLOW,(feeling + enclosure: feeling of being confined) - Character (superimposed),B#1#1#0#0#8#33#9##0#4*&N#1#3#0#0#8#33#9##0#4*&W#4#1#0#0#8#33#9##0#4*%£
25133,out_of_(backward),WHITE,(enclosure + backward) - Character (superimposed),F#1#4#0#0#10#9#11##0#4*&L#1#1#0#4#8#13#9##0#4*%£
25134,out_of_(upward),WHITE,(enclosure + upward) - Character (superimposed),L#1#1#0#0#8#13#9##0#4*&F#1#1#0#2#4#15#5##0#4*%£
25267,"bird_of_prey,raptor,falcon,hawk,eagle",YELLOW,(bird + pictograph of claws) - Character (superimposed),K#2#2#0#0#8#37#9##0#4*&K#7#1#0#1#13#38#14##0#4*&V#5#1#0#3#12#40#13##0#4*&K#2#1#0#4#8#41#9##0#4*&K#7#1#0#5#13#42#14##0#4*%£
25274,chase,YELLOW,(forward + forward) - Character (sequenced),F#1#2#0#0#10#17#11##0#4*&F#1#2#0#10#10#27#11##0#4*%£
25290,electric_field,YELLOW,(pointer (left) + electricity + pointer (right): suggesting the field of force surrounding an electrically charged particle or varying magnetic field) - Character (superimposed - pointer),R#2#4#0#0#10#32#11##0#4*&W#2#1#0#3#12#27#13##0#4*&W#6#2#0#3#8#27#9##0#4*&W#6#2#0#3#12#27#13##0#4*&R#2#2#0#8#10#40#11##0#4*%£
25311,"front,front_of_a_thing",WHITE,"(thing + pointer: pointer pointing to the left on the ""front"" right-hand side of the thing) - Character (superimposed - pointer)",L#2#1#0#0#10#7#11##0#4*&R#2#4#0#5#10#40#11##0#4*%£
25339,magnetic_field,YELLOW,(pointer (left) + magnetism + pointer (right): suggesting the lines of force surrounding a permanent magnet or a moving charged particle) - Character (superimposed - pointer),R#2#4#0#0#10#32#11##0#4*&L#2#1#0#3#10#19#11##0#4*&K#4#1#0#5#7#19#8##0#4*&K#4#3#0#5#16#21#15##0#4*&K#5#1#0#6#9#20#10##0#4*&K#5#3#0#6#15#22#16##0#4*&L#2#1#0#7#10#23#11##0#4*&R#2#2#0#12#10#44#11##0#4*%£
25340,magnetism,YELLOW,(metal bar + pictograph of lines of flux) - Character (superimposed),L#2#1#0#0#10#19#11##0#4*&K#4#1#0#2#7#19#8##0#4*&K#4#3#0#2#16#21#15##0#4*&K#5#1#0#3#9#20#10##0#4*&K#5#3#0#3#15#22#16##0#4*&L#2#1#0#4#10#23#11##0#4*%£
25362,"propeller,rotor_(blades)",YELLOW,(pictograph: suggesting the rotor blades of a propeller) - Character,V#2#2#0#0#8#27#9##0#4*&V#2#4#0#4#8#31#9##0#4*&W#1#2#0#4#10#31#11##0#4*%£
25364,"rear,back_of_a_thing",WHITE,"(pointer + thing: pointer pointing to the right on the ""back"" left-hand side of the thing) - Character (superimposed - pointer)",R#2#2#0#0#10#32#11##0#4*&L#2#1#0#3#10#7#11##0#4*%£
25379,state_of_mind,YELLOW,(mind + being_(state_of): what you think exists) - Character (superimposed),J#1#1#0#0#8#33#9##0#4*&H#2#1#0#2#10#35#11##0#4*&W#2#2#0#4#10#37#11##0#4*%£
25387,"top,top_of_a_thing",WHITE,"(pointer + thing: pointer pointing down on the ""top"" of the thing) - Character (superimposed - pointer)",L#2#1#0#0#10#7#11##0#4*&R#2#3#0#0#7#35#8##0#4*%£
25396,voltage,YELLOW,(vertical line + electricity + vertical line: a combination of limit(s) and electricity) - Character (sequenced),W#4#2#0#0#8#32#9##0#4*&W#2#1#0#2#12#27#13##0#4*&W#6#2#0#2#8#27#9##0#4*&W#6#2#0#2#12#27#13##0#4*&W#4#2#0#8#8#40#9##0#4*%£
25401,ascending_and_descending,YELLOW,(upward_and_forward + downward_and_backward) - Character (superimposed),F#2#2#0#0#8#33#9##0#4*&W#2#1#0#0#16#33#17##0#4*&W#2#2#0#0#12#33#13##0#4*&W#2#1#0#4#8#37#9##0#4*&W#2#2#0#8#8#41#9##0#4*%£
25406,"swing,swinging",YELLOW,(two-headed curved arrow suggests swinging motion) - Character,R#2#1#0#0#12#27#13##0#4*&J#1#3#0#2#12#29#13##0#4*&R#2#1#0#8#12#35#13##0#4*%£
25408,"bottom,bottom_of_a_thing",WHITE,"(pointer + thing: pointer pointing up on the ""bottom"" of the thing) - Character (superimposed - pointer)",L#2#1#0#0#10#7#11##0#4*&R#2#1#0#0#15#35#16##0#4*%£
25434,brain_signal,YELLOW,(mind + electricity: the electrical impulses of the brain (and CNS)) - Character (superimposed),J#1#1#0#0#8#37#9##0#4*&W#2#1#0#2#12#39#13##0#4*&W#6#2#0#2#8#39#9##0#4*&W#6#2#0#2#12#39#13##0#4*%£
25458,indicator_(diminutive_form)_(OLD),GRAY,"(little [quarter-sized]: may be placed above a symbol to show that it is representing a word in diminutive form in a natural language) Used restrictively, primarily for language teaching purposes. - Character (indicator)",W#1#1#0#0#4#35#5##0#4*&W#1#1#0#0#6#35#7##0#4*&W#1#2#0#1#4#36#5##0#4*%£
25480,"organ,inner_organ,inner_body_part",YELLOW,"(body [modification, reduced width] + dot: a reduced body with a dot inside that represents an inner organ) - Character (superimposed - modified) Preferred NEW SYNONYM, replacing 24202",K#3#4#0#0#8#29#9##0#4*&W#2#1#0#2#8#37#9##0#4*&W#2#1#0#2#16#37#17##0#4*&Q#1#1#0#4#12#39#13##0#4*&K#3#2#0#6#8#35#9##0#4*%£
25520,ability_(half_sized),YELLOW,"(dot + evaluation,value_(half-sized): evaluation beforehand of one’s potential to do something - half_sized, used in can,be_able-(to)) - Character (sequenced)",Q#1#1#0#0#12#31#13##0#4*&V#2#3#0#2#12#33#13##0#4*%£
25521,animal_(bushy_tailed),YELLOW,"(animal + raised_wavy_line: pictograph of an animal with a wavy line in high position as tail, used for representing animals with a bushy tail, e.g. a squirrel) - Character (superimposed)",A#1#1#0#0#4#26#5##0#4*&V#2#1#0#1#12#27#13##0#4*&W#4#1#0#1#12#27#13##0#4*&V#2#1#0#5#12#31#13##0#4*%£
